Unnamed: 0.1,Unnamed: 0,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,alcohol,quality
640,5538,2.3,0.071,16.0,40.0,0.9991,9.4,5
648,5546,2.8,0.066,10.0,28.0,0.9964,11.2,7
954,5852,2.7,0.082,6.0,11.0,0.99538,12.2,6
594,5492,2.6,0.096,20.0,38.0,0.9978,9.5,5
744,5642,2.7,0.095,21.0,101.0,1.0001,9.5,5
480,5378,15.5,0.069,6.0,23.0,1.0026,9.2,5
356,5254,3.0,0.08,29.0,55.0,1.0001,11.0,5
121,5019,2.2,0.119,14.0,56.0,0.9962,10.9,6
750,5648,2.9,0.089,17.0,40.0,0.99803,9.5,5
1369,6267,1.6,0.069,4.0,8.0,0.99396,10.4,4
1250,6148,2.3,0.079,24.0,37.0,0.99514,10.9,6
1320,6218,2.6,0.094,12.0,88.0,0.99796,10.1,5
902,5800,2.4,0.08,16.0,33.0,0.99736,10.8,7
48,4946,1.6,0.066,5.0,12.0,0.9958,9.2,5
896,5794,2.4,0.078,17.0,43.0,0.99444,12.5,7
787,5685,2.2,0.079,19.0,58.0,0.9991,10.1,6
1071,5969,8.1,0.098,30.0,92.0,0.99892,9.2,5
735,5633,2.1,0.112,11.0,22.0,0.9963,9.5,5
1014,5912,2.0,0.12,3.0,7.0,0.99454,11.2,6
639,5537,1.9,0.067,25.0,57.0,0.997,10.3,6
223,5121,2.0,0.083,8.0,28.0,0.99815,10.0,6
846,5744,1.8,0.081,14.0,31.0,0.99689,9.8,5
1016,5914,2.2,0.068,12.0,28.0,0.99486,12.6,7
91,4989,1.9,0.11,20.0,136.0,0.9972,9.9,6
1191,6089,2.3,0.166,6.0,12.0,0.99551,10.8,5
1285,6183,1.8,0.09,20.0,47.0,0.99734,10.5,5
1109,6007,2.1,0.171,27.0,66.0,0.9982,10.8,6
1259,6157,2.7,0.123,15.0,33.0,0.99538,11.3,6
972,5870,2.4,0.104,6.0,13.0,0.99643,11.6,7
1383,6281,2.1,0.08,25.0,105.0,0.99613,9.9,5
817,5715,1.6,0.084,19.0,27.0,0.99545,11.9,6
1024,5922,1.8,0.088,12.0,18.0,0.99568,10.5,7
600,5498,2.1,0.088,7.0,23.0,0.9962,10.0,4
1561,6459,2.0,0.08,31.0,131.0,0.99622,9.9,5
216,5114,2.0,0.101,13.0,49.0,0.9962,11.0,5
1418,6316,1.6,0.077,3.0,19.0,0.995,9.8,5
1148,6046,2.0,0.086,9.0,21.0,0.99526,11.6,6
1128,6026,2.7,0.095,28.0,89.0,0.9984,10.0,5
540,5438,3.3,0.101,20.0,47.0,0.9988,9.6,5
277,5175,4.0,0.104,4.0,23.0,0.9996,10.1,6
803,5701,2.5,0.114,14.0,46.0,0.9971,9.6,6
1010,5908,1.7,0.067,7.0,12.0,0.99354,12.3,7
1020,5918,2.4,0.123,3.0,8.0,0.99642,11.9,6
316,5214,3.4,0.102,37.0,92.0,0.9996,10.1,5
1595,6493,2.2,0.062,39.0,51.0,0.99512,11.2,6
569,5467,2.2,0.095,19.0,42.0,0.9946,11.7,6
1239,6137,4.3,0.057,11.0,20.0,0.99488,11.8,4
326,5224,3.65,0.121,6.0,14.0,0.9978,11.5,7
855,5753,2.5,0.071,10.0,14.0,0.99538,11.7,7
168,5066,2.1,0.089,11.0,44.0,0.9953,10.4,6
411,5309,2.4,0.08,23.0,78.0,0.9987,9.5,5
132,5030,2.3,0.049,17.0,99.0,0.9937,13.0,5
1214,6112,1.9,0.081,6.0,9.0,0.99628,10.4,6
1464,6362,1.7,0.063,34.0,53.0,0.9958,9.7,5
1187,6085,2.0,0.085,6.0,39.0,0.99346,11.9,6
443,5341,2.7,0.077,11.0,19.0,0.9963,11.6,7
1363,6261,2.0,0.08,11.0,63.0,0.99652,9.8,4
801,5699,3.3,0.068,8.0,17.0,0.99735,10.0,5
1577,6475,5.1,0.076,13.0,27.0,0.99622,11.9,6
325,5223,11.0,0.071,13.0,50.0,1.0015,9.2,6
20,4918,1.8,0.077,29.0,60.0,0.9968,9.4,6
767,5665,2.7,0.103,13.0,98.0,0.99938,9.5,5
491,5389,2.5,0.055,12.0,25.0,0.9952,13.3,7
906,5804,2.6,0.084,12.0,78.0,0.9964,11.0,5
490,5388,2.8,0.078,24.0,56.0,0.9984,10.6,6
217,5115,2.2,0.072,11.0,41.0,0.9967,9.1,5
338,5236,3.0,0.103,28.0,99.0,1.0008,11.5,6
1129,6027,3.3,0.092,24.0,70.0,0.99798,10.5,6
1496,6394,1.9,0.089,23.0,147.0,0.99636,9.7,5
478,5376,2.2,0.087,5.0,28.0,0.9988,10.2,5
1062,5960,1.9,0.098,6.0,15.0,0.9956,11.4,6
472,5370,2.6,0.083,25.0,68.0,0.9995,10.4,6
1301,6199,2.0,0.1,20.0,57.0,0.99598,11.7,6
1434,6332,15.4,0.214,55.0,95.0,1.00369,9.0,6
602,5500,2.6,0.081,6.0,14.0,0.9975,9.3,5
107,5005,1.7,0.088,15.0,64.0,0.9969,9.3,5
923,5821,8.8,0.084,26.0,45.0,0.99824,10.1,6
42,4940,2.6,0.332,8.0,14.0,0.9968,10.5,6
198,5096,1.2,0.046,13.0,93.0,0.9924,13.0,7
1005,5903,1.8,0.067,4.0,8.0,0.9928,12.8,7
466,5364,2.0,0.069,21.0,51.0,0.9982,11.5,6
40,4938,5.9,0.074,12.0,87.0,0.9978,10.5,5
701,5599,2.1,0.066,8.0,25.0,0.9972,9.5,6
1041,5939,1.7,0.079,13.0,26.0,0.99547,9.8,6
662,5560,1.6,0.076,9.0,27.0,0.9972,9.6,6
1091,5989,2.0,0.086,8.0,19.0,0.99546,11.4,6
25,4923,1.4,0.08,11.0,23.0,0.9955,9.3,5
41,4939,2.8,0.088,17.0,46.0,0.9976,9.3,4
1101,5999,2.1,0.071,14.0,25.0,0.99388,12.0,6
1199,6097,2.3,0.076,23.0,94.0,0.99686,9.5,6
314,5212,2.6,0.087,26.0,72.0,0.99645,11.0,5
1232,6130,2.1,0.075,19.0,66.0,0.99718,9.5,5
1317,6215,2.2,0.091,10.0,41.0,0.99638,11.9,6
110,5008,1.8,0.104,12.0,47.0,0.9964,9.5,5
294,5192,3.2,0.094,17.0,53.0,1.0014,9.5,6
1548,6446,2.0,0.099,19.0,50.0,0.99783,10.4,5
636,5534,2.4,0.086,30.0,147.0,0.9979,9.4,5
1135,6033,1.7,0.067,22.0,50.0,0.9946,11.9,6
1443,6341,1.75,0.058,8.0,22.0,0.99322,11.7,5
381,5279,2.9,0.085,17.0,43.0,1.0014,10.0,6
791,5689,2.9,0.084,25.0,130.0,0.99818,9.6,5
1015,5913,2.2,0.075,14.0,27.0,0.99598,11.4,6
1454,6352,2.2,0.073,7.0,23.0,0.99974,10.9,6
1410,6308,1.8,0.082,5.0,16.0,0.9936,11.9,6
1208,6106,2.1,0.074,24.0,44.0,0.99534,11.0,7
1046,5944,1.7,0.076,33.0,45.0,0.99612,10.7,6
1453,6351,1.9,0.074,27.0,85.0,0.99706,9.0,5
1549,6447,1.8,0.074,17.0,24.0,0.99419,11.4,8
1368,6266,2.1,0.079,16.0,74.0,0.99656,9.8,6
661,5559,1.6,0.08,15.0,42.0,0.9978,9.0,5
696,5594,2.1,0.066,8.0,25.0,0.9972,9.5,6
